group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Find Struct,Std library Reference1,20,,,54702900.0,ns,25
Find Struct,Std library Reference1,20,,,50029100.0,ns,25
Find Struct,Std library Reference1,20,,,53090700.0,ns,25
Find Struct,Std library Reference1,20,,,48623500.0,ns,25
Find Struct,Std library Reference1,20,,,45730600.0,ns,25
Find Struct,Std library Reference1,20,,,43345100.0,ns,25
Find Struct,Std library Reference1,20,,,47129600.0,ns,25
Find Struct,Std library Reference1,20,,,57544500.0,ns,25
Find Struct,Std library Reference1,20,,,45997900.0,ns,25
Find Struct,Std library Reference1,20,,,44527100.0,ns,25
Find Struct,Std library Reference1,20,,,45430600.0,ns,25
Find Struct,Std library Reference1,20,,,43282800.0,ns,25
Find Struct,Std library Reference1,20,,,41239300.0,ns,25
Find Struct,Std library Reference1,20,,,40624900.0,ns,25
Find Struct,Std library Reference1,20,,,50341400.0,ns,25
Find Struct,Std library Reference1,20,,,50758600.0,ns,25
Find Struct,Std library Reference1,20,,,49003600.0,ns,25
Find Struct,Std library Reference1,20,,,48623100.0,ns,25
Find Struct,Std library Reference1,20,,,47765200.0,ns,25
Find Struct,Std library Reference1,20,,,53194400.0,ns,25
Find Struct,Std library Reference1,20,,,55642600.0,ns,25
Find Struct,Std library Reference1,20,,,53914500.0,ns,25
Find Struct,Std library Reference1,20,,,52641900.0,ns,25
Find Struct,Std library Reference1,20,,,49795600.0,ns,25
Find Struct,Std library Reference1,20,,,48322900.0,ns,25
Find Struct,Std library Reference1,20,,,43016700.0,ns,25
Find Struct,Std library Reference1,20,,,42773900.0,ns,25
Find Struct,Std library Reference1,20,,,43601700.0,ns,25
Find Struct,Std library Reference1,20,,,43121400.0,ns,25
Find Struct,Std library Reference1,20,,,50301300.0,ns,25
Find Struct,Std library Reference1,20,,,52967600.0,ns,25
Find Struct,Std library Reference1,20,,,50651400.0,ns,25
Find Struct,Std library Reference1,20,,,42964100.0,ns,25
Find Struct,Std library Reference1,20,,,43446100.0,ns,25
Find Struct,Std library Reference1,20,,,40640700.0,ns,25
Find Struct,Std library Reference1,20,,,51724300.0,ns,25
Find Struct,Std library Reference1,20,,,52088600.0,ns,25
Find Struct,Std library Reference1,20,,,42344900.0,ns,25
Find Struct,Std library Reference1,20,,,39801200.0,ns,25
Find Struct,Std library Reference1,20,,,40406800.0,ns,25
Find Struct,Std library Reference1,20,,,42407800.0,ns,25
Find Struct,Std library Reference1,20,,,40833900.0,ns,25
Find Struct,Std library Reference1,20,,,42091500.0,ns,25
Find Struct,Std library Reference1,20,,,45735800.0,ns,25
Find Struct,Std library Reference1,20,,,44037100.0,ns,25
Find Struct,Std library Reference1,20,,,45132000.0,ns,25
Find Struct,Std library Reference1,20,,,44584500.0,ns,25
Find Struct,Std library Reference1,20,,,47240200.0,ns,25
Find Struct,Std library Reference1,20,,,48459800.0,ns,25
Find Struct,Std library Reference1,20,,,54582200.0,ns,25
Find Struct,Std library Reference1,20,,,50532600.0,ns,25
Find Struct,Std library Reference1,20,,,52513800.0,ns,25
Find Struct,Std library Reference1,20,,,48786400.0,ns,25
Find Struct,Std library Reference1,20,,,62738000.0,ns,25
Find Struct,Std library Reference1,20,,,57726400.0,ns,25
Find Struct,Std library Reference1,20,,,48581700.0,ns,25
Find Struct,Std library Reference1,20,,,50405000.0,ns,25
Find Struct,Std library Reference1,20,,,50480700.0,ns,25
Find Struct,Std library Reference1,20,,,48137400.0,ns,25
Find Struct,Std library Reference1,20,,,48198200.0,ns,25
Find Struct,Std library Reference1,20,,,48187500.0,ns,25
Find Struct,Std library Reference1,20,,,50555200.0,ns,25
Find Struct,Std library Reference1,20,,,50946000.0,ns,25
Find Struct,Std library Reference1,20,,,50072600.0,ns,25
Find Struct,Std library Reference1,20,,,51221100.0,ns,25
Find Struct,Std library Reference1,20,,,51322800.0,ns,25
Find Struct,Std library Reference1,20,,,54765600.0,ns,25
Find Struct,Std library Reference1,20,,,48592500.0,ns,25
Find Struct,Std library Reference1,20,,,48444500.0,ns,25
Find Struct,Std library Reference1,20,,,46572000.0,ns,25
Find Struct,Std library Reference1,20,,,47610500.0,ns,25
Find Struct,Std library Reference1,20,,,52128100.0,ns,25
Find Struct,Std library Reference1,20,,,43729900.0,ns,25
Find Struct,Std library Reference1,20,,,44533300.0,ns,25
Find Struct,Std library Reference1,20,,,39701600.0,ns,25
Find Struct,Std library Reference1,20,,,45885300.0,ns,25
Find Struct,Std library Reference1,20,,,53619400.0,ns,25
Find Struct,Std library Reference1,20,,,42601600.0,ns,25
Find Struct,Std library Reference1,20,,,44293600.0,ns,25
Find Struct,Std library Reference1,20,,,39999300.0,ns,25
Find Struct,Std library Reference1,20,,,39365100.0,ns,25
Find Struct,Std library Reference1,20,,,39502500.0,ns,25
Find Struct,Std library Reference1,20,,,40006300.0,ns,25
Find Struct,Std library Reference1,20,,,40863400.0,ns,25
Find Struct,Std library Reference1,20,,,39497400.0,ns,25
Find Struct,Std library Reference1,20,,,42754800.0,ns,25
Find Struct,Std library Reference1,20,,,42687900.0,ns,25
Find Struct,Std library Reference1,20,,,43172600.0,ns,25
Find Struct,Std library Reference1,20,,,43280100.0,ns,25
Find Struct,Std library Reference1,20,,,43084900.0,ns,25
Find Struct,Std library Reference1,20,,,43282600.0,ns,25
Find Struct,Std library Reference1,20,,,47393600.0,ns,25
Find Struct,Std library Reference1,20,,,48226100.0,ns,25
Find Struct,Std library Reference1,20,,,48429600.0,ns,25
Find Struct,Std library Reference1,20,,,50190400.0,ns,25
Find Struct,Std library Reference1,20,,,50367900.0,ns,25
Find Struct,Std library Reference1,20,,,51236500.0,ns,25
Find Struct,Std library Reference1,20,,,41811600.0,ns,25
Find Struct,Std library Reference1,20,,,39560100.0,ns,25
Find Struct,Std library Reference1,20,,,44674300.0,ns,25
